2A0040127L-3,3,Lotissement Bella Vista,20000,Ajaccio,C+O,41.936154,8.792351
2A0040127L-6,6,Lotissement Bella Vista,20000,Ajaccio,C+O,41.936519,8.791643
2A0040127L-7,7,Lotissement Bella Vista,20000,Ajaccio,C+O,41.935772,8.792672
2A0040127L-9,9,Lotissement Bella Vista,20000,Ajaccio,C+O,41.936100,8.790574
2A0040130P-1,1,Rue du Commandant Benielli,20000,Ajaccio,CAD,41.917403,8.726005
2A0040130P-2,2,Rue du Commandant Benielli,20000,Ajaccio,CAD,41.917296,8.726636
2A0040130P-3,3,Rue du Commandant Benielli,20000,Ajaccio,CAD,41.917368,8.726291
2A0040130P-7,7,Rue du Commandant Benielli,20000,Ajaccio,CAD,41.917567,8.726542
2A0040140A-1,1,Impasse Bertin,20000,Ajaccio,C+O,41.923677,8.737031
2A0040140A-2,2,Impasse Bertin,20000,Ajaccio,C+O,41.923740,8.736971
2A0040143D-1,1,Parc Berthault,20000,Ajaccio,CAD,41.913628,8.721470
2A0040143D-1B,1BIS,Parc Berthault,20000,Ajaccio,CAD,41.913605,8.721426
2A0040143D-40B,40B,Parc Berthault,20000,Ajaccio,CAD,41.911015,8.720909
2A0040143D-40P,40P,Parc Berthault,20000,Ajaccio,CAD,41.913592,8.719804
2A0040143D-415,415,Parc Berthault,20000,Ajaccio,CAD,41.914134,8.720059
2A0040143D-41P,41P,Parc Berthault,20000,Ajaccio,CAD,41.911187,8.720713
2A0040143D-43P,43P,Parc Berthault,20000,Ajaccio,CAD,41.911187,8.720725
2A0040143D-450,450,Parc Berthault,20000,Ajaccio,CAD,41.913475,8.720413
2A0040143D-455,455,Parc Berthault,20000,Ajaccio,CAD,41.913442,8.720624
2A0040143D-484,484,Parc Berthault,20000,Ajaccio,CAD,41.913061,8.720880
2A0040143D-6003,6003,Parc Berthault,20000,Ajaccio,CAD,41.913719,8.720372
2A0040150L-10,10,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926709,8.736323
2A0040150L-11,11,Avenue Beverini Vico,20000,Ajaccio,C+O,41.926423,8.736334
