090430032U-4B,4BIS,Avenue Foncirgue,09600,La Bastide-sur-l'Hers,OSM,42.954773,1.908391
090490042D-125,125,Route de Garbet,09000,Bénac,CAD,42.954500,1.521951
090490042D-126,126,Route de Garbet,09000,Bénac,CAD,42.954851,1.521944
090750151J-17,17,Boulevard de la Mairie,09350,Campagne-sur-Arize,OSM,43.127153,1.337612
090990010B-10,10,Place de la Bascule,09000,Cos,CAD,42.979289,1.569819
090990010B-1,1,Place de la Bascule,09000,Cos,CAD,42.978988,1.569838
090990010B-4,4,Place de la Bascule,09000,Cos,CAD,42.979400,1.569600
090990010B-6,6,Place de la Bascule,09000,Cos,CAD,42.979478,1.569669
090990020M-2,2,Chemin de Goudié,09000,Cos,CAD,42.980197,1.570007
090990020M-2B,2BIS,Chemin de Goudié,09000,Cos,CAD,42.981242,1.568690
090990020M-4,4,Chemin de Goudié,09000,Cos,CAD,42.983292,1.569226
090990020M-5,5,Chemin de Goudié,09000,Cos,CAD,42.982615,1.568430
090990020M-5B,5BIS,Chemin de Goudié,09000,Cos,CAD,42.982757,1.568175
090990020M-6,6,Chemin de Goudié,09000,Cos,CAD,42.983551,1.569377
090990020M-7,7,Chemin de Goudié,09000,Cos,CAD,42.983477,1.569153
090990020M-9,9,Chemin de Goudié,09000,Cos,CAD,42.983508,1.568345
090990030Y-2,2,Chemin de Labado,09000,Cos,CAD,42.979871,1.568669
090990030Y-4,4,Chemin de Labado,09000,Cos,CAD,42.980080,1.568212
090990050V-10,10,Avenue de la Mairie,09000,Cos,CAD,42.976622,1.569604
090990050V-1,1,Avenue de la Mairie,09000,Cos,CAD,42.979048,1.570075
090990050V-13,13,Avenue de la Mairie,09000,Cos,CAD,42.977493,1.570403
090990050V-15,15,Avenue de la Mairie,09000,Cos,CAD,42.976807,1.569819
090990050V-2,2,Avenue de la Mairie,09000,Cos,CAD,42.978834,1.569587
090990050V-3,3,Avenue de la Mairie,09000,Cos,CAD,42.978803,1.570140
090990050V-4,4,Avenue de la Mairie,09000,Cos,CAD,42.978760,1.569252
090990050V-5,5,Avenue de la Mairie,09000,Cos,CAD,42.978594,1.569816
090990050V-6,6,Avenue de la Mairie,09000,Cos,CAD,42.978456,1.569089
090990050V-7,7,Avenue de la Mairie,09000,Cos,CAD,42.978133,1.570716
090990050V-7B,7BIS,Avenue de la Mairie,09000,Cos,CAD,42.978011,1.570068
090990050V-8,8,Avenue de la Mairie,09000,Cos,CAD,42.976832,1.569366
090990050V-9,9,Avenue de la Mairie,09000,Cos,CAD,42.977737,1.569455
090990070S-10,10,Chemin de la Maoule,09000,Cos,CAD,42.977299,1.567264
090990070S-1,1,Chemin de la Maoule,09000,Cos,CAD,42.977313,1.568265
090990070S-12,12,Chemin de la Maoule,09000,Cos,CAD,42.977566,1.566685
090990070S-2,2,Chemin de la Maoule,09000,Cos,CAD,42.977631,1.568941
090990070S-3,3,Chemin de la Maoule,09000,Cos,CAD,42.977268,1.567881
090990070S-4,4,Chemin de la Maoule,09000,Cos,CAD,42.977540,1.568676
090990070S-5,5,Chemin de la Maoule,09000,Cos,CAD,42.977255,1.567399
090990070S-6,6,Chemin de la Maoule,09000,Cos,CAD,42.978302,1.567311
090990070S-7,7,Chemin de la Maoule,09000,Cos,CAD,42.977123,1.566762
090990070S-8,8,Chemin de la Maoule,09000,Cos,CAD,42.977377,1.568097
090990080C-10,10,Chemin de Rousseou,09000,Cos,CAD,42.976430,1.566933
090990080C-12,12,Chemin de Rousseou,09000,Cos,CAD,42.976394,1.566616
090990080C-13,13,Chemin de Rousseou,09000,Cos,CAD,42.976213,1.566322
090990080C-4,4,Chemin de Rousseou,09000,Cos,CAD,42.976580,1.568880
090990080C-6,6,Chemin de Rousseou,09000,Cos,CAD,42.976809,1.568741
090990080C-8,8,Chemin de Rousseou,09000,Cos,CAD,42.976461,1.567409
090990090N-11,11,Chemin de Taous,09000,Cos,CAD,42.975289,1.570185
090990090N-117,117,Chemin de Taous,09000,Cos,CAD,42.974181,1.569662
090990090N-119,119,Chemin de Taous,09000,Cos,CAD,42.974675,1.570121
090990090N-1,1,Chemin de Taous,09000,Cos,CAD,42.976279,1.570092
090990090N-120,120,Chemin de Taous,09000,Cos,CAD,42.974413,1.570199
090990090N-125,125,Chemin de Taous,09000,Cos,CAD,42.974304,1.569338
090990090N-13,13,Chemin de Taous,09000,Cos,CAD,42.975559,1.570511
090990090N-15,15,Chemin de Taous,09000,Cos,CAD,42.974953,1.570399
090990090N-17,17,Chemin de Taous,09000,Cos,CAD,42.974750,1.570547
090990090N-3,3,Chemin de Taous,09000,Cos,CAD,42.976168,1.569793
090990090N-3A,3A,Chemin de Taous,09000,Cos,CAD,42.976033,1.570095
090990090N-5,5,Chemin de Taous,09000,Cos,CAD,42.975747,1.569980
090990090N-7,7,Chemin de Taous,09000,Cos,CAD,42.975359,1.570923
090990090N-9,9,Chemin de Taous,09000,Cos,CAD,42.975204,1.570832
09099A003N-11,11,Les Hauts de Barthe,09000,Cos,CAD,42.980264,1.573682
09099A003N-1,1,Les Hauts de Barthe,09000,Cos,CAD,42.980803,1.572107
09099A003N-3,3,Les Hauts de Barthe,09000,Cos,CAD,42.980675,1.572574
09099A003N-5,5,Les Hauts de Barthe,09000,Cos,CAD,42.979752,1.572867
09099A003N-7,7,Les Hauts de Barthe,09000,Cos,CAD,42.979489,1.573321
09099A003N-9,9,Les Hauts de Barthe,09000,Cos,CAD,42.979567,1.574042
09099A005R-1,1,Campagne,09000,Cos,CAD,42.971379,1.567024
09099A005R-2,2,Campagne,09000,Cos,CAD,42.971366,1.566063
09099A015B-11,11,Le Ginestou,09000,Cos,CAD,42.977744,1.561599
09099A015B-1,1,Le Ginestou,09000,Cos,CAD,42.976959,1.564450
09099A015B-3,3,Le Ginestou,09000,Cos,CAD,42.977647,1.563371
09099A015B-5,5,Le Ginestou,09000,Cos,CAD,42.977663,1.563262
09099A015B-7,7,Le Ginestou,09000,Cos,CAD,42.977729,1.562578
09099A015B-9,9,Le Ginestou,09000,Cos,CAD,42.977756,1.562139
09099A025M-2,2,Lubenac,09000,Cos,CAD,42.974016,1.561481
09099A025M-4,4,Lubenac,09000,Cos,CAD,42.973727,1.561551
09099A025M-6,6,Lubenac,09000,Cos,CAD,42.973621,1.561424
09099A025M-8,8,Lubenac,09000,Cos,CAD,42.973583,1.561312
09099A032V-1,1,Le Planal,09000,Cos,CAD,42.978985,1.568891
09099A032V-3,3,Le Planal,09000,Cos,CAD,42.978533,1.568115
09099A033W-11,11,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.969995,1.580472
09099A033W-1,1,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.969948,1.578737
09099A033W-12,12,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970012,1.580126
09099A033W-13,13,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970037,1.579748
09099A033W-14,14,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970060,1.579379
09099A033W-15,15,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970079,1.579035
09099A033W-17,17,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970016,1.580886
09099A033W-19,19,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.969876,1.581404
09099A033W-20,20,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.969801,1.581341
09099A033W-22,22,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.969933,1.580838
09099A033W-2,2,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970140,1.578816
09099A033W-3,3,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970163,1.579052
09099A033W-4,4,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970138,1.579445
09099A033W-5,5,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970120,1.579727
09099A033W-6,6,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970094,1.580178
09099A033W-7,7,Lotissement de la Plaine de Caussou,09000,Cos,CAD,42.970080,1.580479
09099A035Y-1,1,La Renardiere,09000,Cos,CAD,42.984026,1.568909
09099A035Y-3,3,La Renardiere,09000,Cos,CAD,42.984151,1.569788
09099A035Y-5,5,La Renardiere,09000,Cos,CAD,42.984270,1.570008
09099A040D-2,2,Rouzaud,09000,Cos,CAD,42.976066,1.570365
09099A040D-4,4,Rouzaud,09000,Cos,CAD,42.976543,1.570536
09099A040D-6,6,Rouzaud,09000,Cos,CAD,42.977083,1.570701
09099A040D-8,8,Rouzaud,09000,Cos,CAD,42.977250,1.570837
091210001W-1A,1A,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943655,1.618049
091210001W-1B,1B,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943438,1.617746
091210001W-2,2,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943675,1.616946
091210001W-3,3,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943498,1.616587
091210001W-356,356,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943207,1.617319
091210001W-4,4,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943596,1.616489
091210001W-6,6,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.943391,1.616331
091210001W-7,7,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.942504,1.616025
091210001W-7B,7BIS,Allée de la Mairie,09000,Ferrières-sur-Ariège,CAD,42.942998,1.616098
091210002X-11,11,Impasse Les Lauriéres,09000,Ferrières-sur-Ariège,CAD,42.948104,1.618662
091210002X-1,1,Impasse Les Lauriéres,09000,Ferrières-sur-Ariège,CAD,42.947872,1.617239
091210002X-3,3,Impasse Les Lauriéres,09000,Ferrières-sur-Ariège,CAD,42.947918,1.617640
091210002X-5,5,Impasse Les Lauriéres,09000,Ferrières-sur-Ariège,CAD,42.947967,1.618047
091210002X-7,7,Impasse Les Lauriéres,09000,Ferrières-sur-Ariège,CAD,42.948058,1.618440
091210003Y-3,3,Chemin du Pages,09000,Ferrières-sur-Ariège,CAD,42.939863,1.615960
091210003Y-5,5,Chemin du Pages,09000,Ferrières-sur-Ariège,CAD,42.939555,1.615990
091210003Y-7,7,Chemin du Pages,09000,Ferrières-sur-Ariège,CAD,42.939301,1.616011
091210004Z-10,10,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940874,1.619299
091210004Z-10B,10BIS,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940692,1.619518
091210004Z-11,11,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940876,1.619188
091210004Z-12,12,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940574,1.619332
091210004Z-12B,12BIS,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.939854,1.619486
091210004Z-14,14,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940349,1.619323
091210004Z-15,15,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940261,1.619187
091210004Z-17,17,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940241,1.618511
091210004Z-21,21,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940143,1.618834
091210004Z-2,2,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.941578,1.619213
091210004Z-23,23,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940058,1.618564
091210004Z-24,24,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940018,1.618389
091210004Z-25,25,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.939008,1.619005
091210004Z-27,27,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.939993,1.617991
091210004Z-336,336,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.939022,1.618718
091210004Z-4,4,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.941503,1.619222
091210004Z-5,5,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.941049,1.619165
091210004Z-6,6,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.941278,1.620095
091210004Z-7,7,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.941141,1.619152
091210004Z-8,8,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.941046,1.619280
091210004Z-9,9,Plaine des Cerisiers,09000,Ferrières-sur-Ariège,CAD,42.940966,1.619176
091210005A-1,1,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.946967,1.616671
091210005A-2,2,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.947294,1.617122
091210005A-2B,2BIS,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.947726,1.617144
091210005A-3,3,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.946967,1.616683
091210005A-3B,3BIS,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.946729,1.617053
091210005A-4,4,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.946853,1.618345
091210005A-5,5,Avenue de la Barriére,09000,Ferrières-sur-Ariège,CAD,42.946360,1.616543
091210006B-1,1,Chemin de Labur,09000,Ferrières-sur-Ariège,CAD,42.940540,1.616327
091210007C-11,11,Chemin de la Garosse,09000,Ferrières-sur-Ariège,CAD,42.943451,1.613923
091210007C-1,1,Chemin de la Garosse,09000,Ferrières-sur-Ariège,CAD,42.943355,1.615603
091210007C-9,9,Chemin de la Garosse,09000,Ferrières-sur-Ariège,CAD,42.943758,1.614047
091210008D-10,10,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940781,1.613681
091210008D-11,11,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942169,1.613450
091210008D-11A,11A,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942323,1.613360
091210008D-12,12,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940590,1.614060
091210008D-13,13,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941976,1.613212
091210008D-14,14,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940538,1.613723
091210008D-14B,14BIS,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940368,1.613843
091210008D-15,15,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941822,1.613450
091210008D-16,16,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940277,1.613832
091210008D-17,17,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941561,1.613377
091210008D-18,18,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940245,1.613877
091210008D-19,19,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941644,1.613316
091210008D-20,20,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940023,1.614267
091210008D-21,21,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940985,1.613450
091210008D-2,2,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942291,1.613674
091210008D-23,23,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940584,1.613660
091210008D-25,25,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940444,1.613669
091210008D-27,27,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940347,1.613727
091210008D-29,29,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.940296,1.613761
091210008D-2B,2BIS,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941874,1.615258
091210008D-4,4,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941984,1.613547
091210008D-5,5,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942003,1.614172
091210008D-6,6,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941270,1.613386
091210008D-7,7,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942236,1.614023
091210008D-8,8,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.941070,1.613457
091210008D-9,9,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942348,1.614008
091210008D-9B,9BIS,Chemin de Sutra,09000,Ferrières-sur-Ariège,CAD,42.942739,1.614148
091210009E-10,10,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944264,1.617936
091210009E-1,1,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.945885,1.617258
091210009E-12,12,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944222,1.617938
091210009E-13,13,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944592,1.617602
091210009E-14,14,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944144,1.617989
091210009E-16,16,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944288,1.618658
091210009E-17,17,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944307,1.617787
091210009E-18,18,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.943898,1.618236
091210009E-20,20,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.943897,1.618366
091210009E-22,22,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.943939,1.618491
091210009E-2,2,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.945857,1.617360
091210009E-3,3,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.945648,1.617315
091210009E-4,4,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.945685,1.617417
091210009E-5,5,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.945310,1.617124
091210009E-6,6,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944809,1.617628
091210009E-8,8,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.944746,1.618472
091210009E-9,9,Avenue de Lestang,09000,Ferrières-sur-Ariège,CAD,42.945094,1.617452
091210010F-10,10,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.945872,1.615592
091210010F-1,1,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.947310,1.615552
091210010F-16,16,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.945160,1.615673
091210010F-18,18,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.944957,1.615695
091210010F-20,20,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.944642,1.615731
091210010F-22,22,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.944655,1.615549
091210010F-2,2,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.947183,1.615401
091210010F-2B,2BIS,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946729,1.615500
091210010F-2T,2TER,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946917,1.615392
091210010F-30,30,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.943823,1.615864
091210010F-32,32,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.943768,1.615864
091210010F-3,3,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.944708,1.615812
091210010F-34,34,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.943840,1.615688
091210010F-34B,34BIS,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.943678,1.615839
091210010F-36,36,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.943564,1.615862
091210010F-38,38,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.943307,1.615856
091210010F-40,40,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.942657,1.614610
091210010F-42,42,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.942809,1.615866
091210010F-44,44,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.942591,1.615837
091210010F-4,4,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946538,1.615521
091210010F-46,46,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.942469,1.615819
091210010F-48,48,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.942274,1.615790
091210010F-4B,4BIS,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946397,1.614933
091210010F-4T,4TER,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946397,1.614946
091210010F-50,50,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.941833,1.615746
091210010F-52,52,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.941587,1.615778
091210010F-54,54,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.941519,1.615780
091210010F-5,5,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.944442,1.615962
091210010F-56,56,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.941373,1.615796
091210010F-58,58,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.941196,1.615820
091210010F-60,60,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940958,1.615852
091210010F-60B,60BIS,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.941011,1.614972
091210010F-62,62,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940744,1.615881
091210010F-64,64,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940672,1.615379
091210010F-66,66,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940643,1.615180
091210010F-6,6,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946317,1.615543
091210010F-68,68,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940343,1.615710
091210010F-70,70,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940322,1.615407
091210010F-72,72,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.940084,1.614502
091210010F-7,7,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.942504,1.616025
091210010F-8,8,Chemin des Rives,09000,Ferrières-sur-Ariège,CAD,42.946020,1.615575
091210011G-10,10,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942630,1.620396
091210011G-11,11,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942931,1.618811
091210011G-1,1,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943682,1.618276
091210011G-11B,11BIS,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942883,1.618494
091210011G-12,12,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942717,1.619576
091210011G-15,15,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942467,1.618179
091210011G-17,17,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942479,1.619001
091210011G-19,19,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942287,1.618999
091210011G-21,21,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942124,1.619020
091210011G-2,2,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943596,1.618467
091210011G-23,23,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.941903,1.619041
091210011G-3,3,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943518,1.618406
091210011G-4,4,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943232,1.619125
091210011G-4B,4BIS,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943363,1.620361
091210011G-5,5,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943215,1.618631
091210011G-6,6,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942841,1.619151
091210011G-6A,6A,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942965,1.620223
091210011G-6B,6B,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942869,1.619636
091210011G-7,7,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943019,1.618210
091210011G-8,8,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.942662,1.619061
091210011G-9,9,Avenue du Bernet,09000,Ferrières-sur-Ariège,CAD,42.943106,1.618712
091210012H-11,11,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941362,1.617518
091210012H-1,1,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941515,1.618735
091210012H-13,13,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941317,1.617114
091210012H-3,3,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941453,1.618304
091210012H-358,358,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941705,1.618158
091210012H-4,4,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941455,1.618824
091210012H-5,5,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.941767,1.618366
091210012H-7,7,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.942189,1.617958
091210012H-9,9,Chemin d'Eychartous,09000,Ferrières-sur-Ariège,CAD,42.942029,1.617933
091210013J-2,2,Chemin du Col de la Perche,09000,Ferrières-sur-Ariège,CAD,42.941679,1.613186
091210013J-2B,2BIS,Chemin du Col de la Perche,09000,Ferrières-sur-Ariège,CAD,42.941826,1.613227
091210013J-4,4,Chemin du Col de la Perche,09000,Ferrières-sur-Ariège,CAD,42.941841,1.612883
091210020S-1,1,Avenue Jean Durroux,09000,Ferrières-sur-Ariège,CAD,42.948631,1.617225
091210020S-3,3,Avenue Jean Durroux,09000,Ferrières-sur-Ariège,CAD,42.948632,1.617237
091210025X-10,10,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946868,1.618413
091210025X-1,1,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946978,1.619394
091210025X-12,12,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946759,1.617806
091210025X-13,13,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946653,1.617581
091210025X-14,14,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946705,1.617427
091210025X-15,15,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946597,1.617386
091210025X-2,2,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.947032,1.619333
091210025X-4,4,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946981,1.619048
091210025X-5,5,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946868,1.618779
091210025X-6,6,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946921,1.618713
091210025X-7,7,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946653,1.618523
091210025X-9,9,Rue Lazare Ponticelli,09000,Ferrières-sur-Ariège,CAD,42.946749,1.618116
091210030C-1,1,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947124,1.617251
091210030C-1B,1BIS,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947294,1.617140
091210030C-2,2,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947192,1.617669
091210030C-3,3,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947228,1.617893
091210030C-341,341,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947235,1.619853
091210030C-4,4,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947309,1.618378
091210030C-4B,4BIS,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947267,1.618888
091210030C-5,5,Rue Roger Deumié,09000,Ferrières-sur-Ariège,CAD,42.947152,1.617990
