150010001Y-10,10,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229608,2.934448
150010001Y-11,11,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229712,2.934319
150010001Y-12,12,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229551,2.934455
150010001Y-14,14,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229495,2.934463
150010001Y-16,16,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229448,2.934468
150010001Y-17,17,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229584,2.934339
150010001Y-18,18,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229386,2.934475
150010001Y-19,19,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229529,2.934347
150010001Y-20,20,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229323,2.934482
150010001Y-21,21,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229482,2.934354
150010001Y-22,22,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229258,2.934490
150010001Y-22B,22BIS,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229238,2.934603
150010001Y-2,2,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229963,2.934398
150010001Y-23,23,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229421,2.934362
150010001Y-24,24,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229156,2.934556
150010001Y-26,26,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229118,2.934511
150010001Y-28,28,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229052,2.934518
150010001Y-29,29,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228912,2.934404
150010001Y-30,30,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228954,2.934526
150010001Y-31,31,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228829,2.934416
150010001Y-32,32,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228848,2.934531
150010001Y-33,33,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228723,2.934434
150010001Y-3,3,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229885,2.934294
150010001Y-34,34,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228760,2.934534
150010001Y-35,35,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228607,2.934354
150010001Y-36,36,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228667,2.934543
150010001Y-38,38,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228555,2.934493
150010001Y-39,39,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228404,2.934400
150010001Y-41,41,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228333,2.934390
150010001Y-42,42,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228302,2.934483
150010001Y-43,43,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228291,2.934383
150010001Y-44,44,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228215,2.934478
150010001Y-4,4,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229825,2.934420
150010001Y-47,47,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228116,2.934357
150010001Y-48,48,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.228075,2.934448
150010001Y-5,5,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229845,2.934300
150010001Y-6,6,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229753,2.934429
150010001Y-7,7,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229808,2.934306
150010001Y-8,8,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229683,2.934438
150010001Y-9,9,Grande Rue de l'Abbé de Pradt,15160,Allanche,OSM,45.229762,2.934312
150010023X-10,10,Place du Cézallier,15160,Allanche,OSM,45.230584,2.934230
150010023X-11,11,Place du Cézallier,15160,Allanche,OSM,45.231969,2.934834
150010023X-12,12,Place du Cézallier,15160,Allanche,OSM,45.230651,2.934215
150010023X-14,14,Place du Cézallier,15160,Allanche,OSM,45.230779,2.933926
150010023X-16,16,Place du Cézallier,15160,Allanche,OSM,45.230822,2.934045
150010023X-18,18,Place du Cézallier,15160,Allanche,OSM,45.230825,2.934138
150010023X-20,20,Place du Cézallier,15160,Allanche,OSM,45.231085,2.934123
150010023X-22,22,Place du Cézallier,15160,Allanche,OSM,45.231393,2.934208
